Row,Entity,Position X,Position Y,id,length(M),width(M),"type(B=3,D=1,T=2)",parking_type,parking_side
C-151-02,Tracker,342516.7997,3311767.671,8,30,3.92,2,,
C-151-02,Bridge,342518.7587,3311767.331,9,0.82,0.6,3,,
C-151-02,Tracker,342516.7997,3311736.913,10,30,3.92,2,,
C-152-01,Tracker,342527.5997,3312235.443,0,45,3.92,2,,
C-152-01,Bridge,342529.5587,3312235.103,1,0.64,0.6,3,,
C-152-01,Tracker,342527.5997,3312189.685,2,45,3.92,2,,
C-152-01,Bridge,342529.5587,3312189.345,3,0.64,0.6,3,,
C-152-01,Tracker,342527.5997,3312143.927,4,45,3.92,2,,
C-152-01,Dock,342527.5464,3312143.502,5,1.05,0.9,0,Central,South
C-152-01,Tracker,342527.5997,3312097.969,6,45,3.92,2,,
C-152-01,Bridge,342529.5587,3312097.629,7,0.64,0.6,3,,
C-152-01,Tracker,342527.5997,3312052.211,8,45,3.92,2,,
C-152-01,Bridge,342529.5587,3312051.871,9,0.64,0.6,3,,
C-152-01,Tracker,342527.5997,3312006.453,10,45,3.92,2,,
C-153-01,Tracker,342538.3997,3312229.493,0,45,3.92,2,,
C-153-01,Bridge,342540.3587,3312229.153,1,0.82,0.6,3,,
C-153-01,Tracker,342538.3997,3312183.735,2,45,3.92,2,,
C-153-01,Bridge,342540.3587,3312183.395,3,0.82,0.6,3,,
C-153-01,Tracker,342538.3997,3312137.777,4,45,3.92,2,,
C-153-01,Bridge,342540.3587,3312137.437,5,0.64,0.6,3,,
C-153-01,Tracker,342538.3997,3312092.019,6,45,3.92,2,,
C-153-01,Dock,342538.3464,3312091.594,7,1.05,0.9,0,Central,South
C-153-01,Tracker,342538.3997,3312046.061,8,45,3.92,2,,
C-153-01,Bridge,342540.3587,3312045.721,9,0.64,0.6,3,,
C-153-01,Tracker,342538.3997,3312000.303,10,45,3.92,2,,
C-153-01,Bridge,342540.3587,3311999.963,11,0.64,0.6,3,,
C-153-01,Tracker,342538.3997,3311954.545,12,45,3.92,2,,
,Gap,342540.3587,3311954.205,0,0.64,-1,0,,
C-153-02,Tracker,342538.3997,3311908.787,0,45,3.92,2,,
C-153-02,Dock,342538.3997,3311908.362,1,1.05,0.9,0,Central,South
C-153-02,Tracker,342538.3997,3311862.829,2,45,3.92,2,,
C-153-02,Bridge,342540.3587,3311862.489,3,0.64,0.6,3,,
C-153-02,Tracker,342538.3997,3311817.071,4,45,3.92,2,,
C-153-02,Bridge,342540.3587,3311816.731,5,0.82,0.6,3,,
C-153-02,Tracker,342538.3997,3311786.328,6,30,3.92,2,,
C-154-01,Tracker,342549.1997,3312223.543,0,45,3.92,2,,
C-154-01,Bridge,342551.1587,3312223.203,1,0.82,0.6,3,,
C-154-01,Tracker,342549.1997,3312177.785,2,45,3.92,2,,
C-154-01,Bridge,342551.1587,3312177.445,3,0.82,0.6,3,,
C-154-01,Tracker,342549.1997,3312131.827,4,45,3.92,2,,
C-154-01,Bridge,342551.1587,3312131.487,5,0.82,0.6,3,,
C-154-01,Tracker,342549.1997,3312086.069,6,45,3.92,2,,
C-154-01,Dock,342549.1464,3312085.644,7,1.05,0.9,0,Central,South
C-154-01,Tracker,342549.1997,3312040.111,8,45,3.92,2,,
,Gap,342551.1587,3312039.771,0,0.82,-1,0,,
C-154-02,Tracker,342549.1997,3311994.353,0,45,3.92,2,,
C-154-02,Bridge,342551.1587,3311994.013,1,0.82,0.6,3,,
C-154-02,Tracker,342549.1997,3311948.595,2,45,3.92,2,,
C-154-02,Dock,342549.1997,3311948.17,3,1.05,0.9,0,Central,South
C-154-02,Tracker,342549.1997,3311902.637,4,45,3.92,2,,
C-154-02,Bridge,342551.1587,3311902.297,5,0.82,0.6,3,,
C-154-02,Tracker,342549.1997,3311856.879,6,45,3.92,2,,
C-154-02,Bridge,342551.1587,3311856.539,7,0.82,0.6,3,,
C-154-02,Tracker,342549.1997,3311826.136,8,30,3.92,2,,
C-154-02,Bridge,342551.1587,3311825.796,9,0.64,0.6,3,,
C-154-02,Tracker,342549.1997,3311795.378,10,30,3.92,2,,
C-155-01,Tracker,342559.9997,3312217.593,0,45,3.92,2,,
C-155-01,Bridge,342561.9587,3312217.253,1,0.64,0.6,3,,
C-155-01,Tracker,342559.9997,3312171.835,2,45,3.92,2,,
C-155-01,Bridge,342561.9587,3312171.495,3,0.82,0.6,3,,
C-155-01,Tracker,342559.9997,3312125.862,4,45,3.92,2,,
C-155-01,Bridge,342561.9587,3312125.522,5,0.64,0.6,3,,
C-155-01,Tracker,342559.9997,3312080.104,6,45,3.92,2,,
C-155-01,Dock,342559.9464,3312079.679,7,1.06,0.9,0,Central,South
C-155-01,Tracker,342559.9997,3312034.146,8,45,3.92,2,,
,Gap,342561.9587,3312033.806,0,0.64,-1,0,,
C-155-02,Tracker,342559.9997,3311988.388,0,45,3.92,2,,
C-155-02,Bridge,342561.9587,3311988.048,1,0.64,0.6,3,,
C-155-02,Tracker,342559.9997,3311942.63,2,45,3.92,2,,
C-155-02,Dock,342559.9997,3311942.205,3,1.05,0.9,0,Central,South
C-155-02,Tracker,342559.9997,3311896.672,4,45,3.92,2,,
C-155-02,Bridge,342561.9587,3311896.332,5,0.64,0.6,3,,
C-155-02,Tracker,342559.9997,3311865.929,6,30,3.92,2,,
C-155-02,Bridge,342561.9587,3311865.589,7,0.82,0.6,3,,
C-155-02,Tracker,342559.9997,3311835.171,8,30,3.92,2,,
C-155-02,Bridge,342561.9587,3311834.831,9,0.64,0.6,3,,
C-155-02,Tracker,342559.9997,3311804.413,10,30,3.92,2,,
C-156-01,Tracker,342570.7997,3312211.643,0,45,3.92,2,,
C-156-01,Bridge,342572.7587,3312211.303,1,0.82,0.6,3,,
C-156-01,Tracker,342570.7997,3312165.885,2,45,3.92,2,,
C-156-01,Bridge,342572.7587,3312165.545,3,0.82,0.6,3,,
C-156-01,Tracker,342570.7997,3312119.912,4,45,3.92,2,,
C-156-01,Bridge,342572.7587,3312119.572,5,0.82,0.6,3,,
C-156-01,Tracker,342570.7997,3312074.154,6,45,3.92,2,,
C-156-01,Dock,342570.7464,3312073.729,7,1.05,0.9,0,Central,South
C-156-01,Tracker,342570.7997,3312028.196,8,45,3.92,2,,
,Gap,342572.7727,3312027.856,0,0.82,-1,0,,
C-156-02,Tracker,342570.7997,3311982.438,0,45,3.92,2,,
C-156-02,Bridge,342572.7587,3311982.098,1,0.64,0.6,3,,
C-156-02,Tracker,342570.7997,3311936.68,2,45,3.92,2,,
C-156-02,Dock,342570.7997,3311936.255,3,1.05,0.9,0,Central,South
C-156-02,Tracker,342570.7997,3311890.722,4,45,3.92,2,,
C-156-02,Bridge,342572.7587,3311890.382,5,0.82,0.6,3,,
C-156-02,Tracker,342570.7997,3311859.979,6,30,3.92,2,,
C-156-02,Bridge,342572.7587,3311859.639,7,0.82,0.6,3,,
C-156-02,Tracker,342570.7997,3311829.021,8,30,3.92,2,,
C-157-01,Tracker,342581.5997,3312205.693,0,45,3.92,2,,
C-157-01,Bridge,342583.5587,3312205.353,1,0.64,0.6,3,,
C-157-01,Tracker,342581.5997,3312159.935,2,45,3.92,2,,
C-157-01,Bridge,342583.5587,3312159.595,3,0.82,0.6,3,,
C-157-01,Tracker,342581.5997,3312113.962,4,45,3.92,2,,
C-157-01,Bridge,342583.5587,3312113.622,5,0.64,0.6,3,,
C-157-01,Tracker,342581.5997,3312068.204,6,45,3.92,2,,
C-157-01,Dock,342581.5464,3312067.779,7,1.05,0.9,0,Central,South
C-157-01,Tracker,342581.5997,3312022.246,8,45,3.92,2,,
,Gap,342583.5587,3312021.906,0,0.64,-1,0,,
C-157-02,Tracker,342581.5997,3311976.488,0,45,3.92,2,,
C-157-02,Bridge,342583.5587,3311976.148,1,0.82,0.6,3,,
